epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.84674,1.14324,3.3406,1.42187,0.00333,0.86667,0.63825,0.49215,0.82422,3.01735,1.10073,6e-05,6e-05,6e-05
2,6.09427,1.08762,3.204,1.36839,0.00333,0.86667,0.79783,0.49917,0.98376,3.07091,1.18368,0.000137228,0.000137228,0.000137228
3,7.31989,1.11343,2.37678,1.30321,0.00333,0.86667,0.81202,0.4729,1.18015,2.83184,1.24228,0.000211288,0.000211288,0.000211288
4,8.56834,1.14325,1.9606,1.28444,0.00333,0.86667,0.81931,0.66648,0.84451,2.80146,1.08855,0.00028218,0.00028218,0.00028218
5,9.69669,1.18909,1.73324,1.25659,0.00333,0.86667,0.84414,0.62901,0.96627,2.78761,1.1354,0.000349904,0.000349904,0.000349904
6,10.9503,1.332,1.7321,1.37176,0.00333,0.86667,0.86523,0.55727,1.10388,2.74682,1.21266,0.00041446,0.00041446,0.00041446
7,12.1126,1.43861,2.2414,1.33565,1,0.40527,0.8053,0.52437,1.09124,2.65673,1.19103,0.000475848,0.000475848,0.000475848
8,13.3033,1.09607,1.68866,1.18004,0.8733,0.8,0.8521,0.56542,1.03871,2.7217,1.18502,0.000534068,0.000534068,0.000534068
9,15.2814,1.17868,1.81018,1.263,1,0.37377,0.86523,0.54811,1.12469,2.59461,1.19123,0.00058912,0.00058912,0.00058912
10,16.9707,1.08658,1.4516,1.14243,1,0.5568,0.86523,0.53593,1.21651,2.60713,1.32656,0.000641004,0.000641004,0.000641004
11,18.1284,1.25117,1.84364,1.32624,0.80979,0.56923,0.78067,0.45117,1.3036,2.78839,1.44355,0.00068972,0.00068972,0.00068972
12,19.2868,1.25572,1.71567,1.31843,1,0.65545,0.84876,0.53834,1.12899,2.77599,1.26858,0.000735268,0.000735268,0.000735268
13,20.4293,1.27221,1.65031,1.28322,1,0.6578,0.84589,0.56631,1.22243,2.66726,1.25975,0.000777648,0.000777648,0.000777648
14,21.6281,1.14623,1.63426,1.25381,1,0.75703,0.84876,0.59109,1.18291,2.57979,1.27826,0.00081686,0.00081686,0.00081686
15,22.8488,1.0844,1.44728,1.17398,0.95283,0.6,0.7626,0.47472,1.36622,2.49624,1.33316,0.000852904,0.000852904,0.000852904
16,24.0629,1.05493,1.80391,1.15124,0.79983,0.79921,0.77727,0.4721,1.49005,2.29031,1.42356,0.00088578,0.00088578,0.00088578
17,25.2503,1.1079,1.57232,1.21485,0.98399,0.8,0.80736,0.47803,1.45309,2.23831,1.48322,0.000915488,0.000915488,0.000915488
18,26.5655,1.13743,1.40618,1.20847,0.91462,0.71533,0.78484,0.53363,1.237,2.21959,1.3472,0.000942028,0.000942028,0.000942028
19,28.3045,1.16637,1.45531,1.24184,0.98254,0.8,0.80736,0.54526,1.29782,1.89502,1.38166,0.0009654,0.0009654,0.0009654
20,30.1089,1.02891,1.40945,1.17037,0.99115,0.8,0.80433,0.53656,1.39783,1.80725,1.45573,0.000985604,0.000985604,0.000985604
21,31.3641,1.09656,1.50185,1.19811,0.99726,0.8,0.86023,0.54868,1.41555,1.7779,1.45786,0.00100264,0.00100264,0.00100264
22,32.5147,1.22674,1.56961,1.32942,1,0.84874,0.86523,0.55875,1.3458,1.78293,1.41209,0.00101651,0.00101651,0.00101651
23,33.6971,1.06889,1.58348,1.21091,0.86264,0.83849,0.85128,0.55299,1.28524,1.82006,1.33799,0.00102721,0.00102721,0.00102721
24,34.8456,1.09206,1.44404,1.23018,0.90002,0.8,0.81235,0.54178,1.27425,1.91223,1.29468,0.00103474,0.00103474,0.00103474
25,36.0177,1.20924,1.48783,1.26677,0.79795,0.8,0.8112,0.50873,1.27612,1.92611,1.27107,0.0010391,0.0010391,0.0010391
26,37.1873,0.99521,1.2965,1.1316,0.99061,0.66667,0.81496,0.51163,1.29262,1.8981,1.2807,0.00101,0.00101,0.00101
27,38.3551,1.309,1.50599,1.2936,0.89706,0.8,0.8304,0.48617,1.43216,1.8799,1.35634,0.0009704,0.0009704,0.0009704
28,39.5624,1.0931,1.23413,1.23914,0.83047,0.8,0.79382,0.43671,1.38667,1.74777,1.35142,0.0009308,0.0009308,0.0009308
